epoch,step,train_kl,train_loss,train_mse,train_pearson,train_rank_loss,train_rank_weight,train_rmse,train_spearman,train_top_hit,val_kl,val_loss,val_mse,val_pearson,val_rank_loss,val_rank_weight,val_rmse,val_spearman,val_top_hit
0,136,,,,,,,,,,0.11526355892419815,0.5445072650909424,8.121994972229004,-0.07494036853313446,0.6943190097808838,0.03333333507180214,2.7755584716796875,-0.08679556101560593,0.34117648005485535
0,136,0.10126248002052307,0.9750807285308838,17.014610290527344,0.056253157556056976,0.692639946937561,0.03333331272006035,3.930065631866455,0.045703187584877014,0.4350365102291107,,,,,,,,,
1,273,,,,,,,,,,0.11521729826927185,0.5957705974578857,8.685240745544434,-0.05810047686100006,0.6943700313568115,0.06666667014360428,2.854888677597046,-0.08144796639680862,0.34117648005485535
1,273,0.10115019232034683,0.5817434787750244,8.688940048217773,0.0683615505695343,0.6921954154968262,0.0666666254401207,2.896155595779419,0.06325501203536987,0.4364964962005615,,,,,,,,,
2,410,,,,,,,,,,0.1151929572224617,0.6143731474876404,8.59508991241455,-0.04496736451983452,0.6942563056945801,0.10000001639127731,2.8412680625915527,-0.06170300766825676,0.3529411852359772
2,410,0.10118860751390457,0.605460524559021,8.700997352600098,0.08198390901088715,0.6922223567962646,0.10000011324882507,2.8989100456237793,0.08513529598712921,0.46131405234336853,,,,,,,,,
3,547,,,,,,,,,,0.11517811566591263,0.5978702306747437,8.265650749206543,-0.03236284479498863,0.6940957307815552,0.10000001639127731,2.7933034896850586,-0.05429864302277565,0.3529411852359772
3,547,0.10123978555202484,0.6055657267570496,8.70196533203125,0.07316411286592484,0.6922749280929565,0.10000011324882507,2.8975067138671875,0.05821623653173447,0.4364966154098511,,,,,,,,,
4,684,,,,,,,,,,0.11513172090053558,0.6293047070503235,8.89523983001709,-0.020420804619789124,0.694110095500946,0.10000001639127731,2.8869049549102783,-0.048951052129268646,0.364705890417099
4,684,0.10110968351364136,0.6025109887123108,8.64384651184082,0.07927805185317993,0.6920880079269409,0.10000011324882507,2.889647960662842,0.06122930347919464,0.42773738503456116,,,,,,,,,
