epoch,step,train_kl,train_loss,train_mse,train_pearson,train_rank_loss,train_rank_weight,train_rmse,train_spearman,train_top_hit,val_kl,val_loss,val_mse,val_pearson,val_rank_loss,val_rank_weight,val_rmse,val_spearman,val_top_hit
0,202,,,,,,,,,,0.06656873971223831,0.1811811774969101,1.830167293548584,0.023036878556013107,0.693122148513794,0.033333346247673035,1.249320149421692,0.011161912232637405,0.43846145272254944
0,202,0.07771458476781845,0.20149517059326172,2.013624429702759,0.061838965862989426,0.6929807066917419,0.03333330899477005,1.3576476573944092,0.07463227957487106,0.4305418133735657,,,,,,,,,
1,405,,,,,,,,,,0.06656153500080109,0.20406143367290497,1.8258755207061768,0.04201393947005272,0.6930917501449585,0.06666669249534607,1.2513352632522583,0.030258197337388992,0.4615383744239807
1,405,0.07771055400371552,0.21785558760166168,1.8790785074234009,0.09397503733634949,0.6928659081459045,0.0666666179895401,1.3141863346099854,0.10394778847694397,0.4699508249759674,,,,,,,,,
2,608,,,,,,,,,,0.06655383855104446,0.22744090855121613,1.8316067457199097,0.06321298331022263,0.6930668950080872,0.09999998658895493,1.2490887641906738,0.04020979255437851,0.44615375995635986
2,608,0.07770685851573944,0.2409619241952896,1.8793240785598755,0.08429145812988281,0.6928882598876953,0.10000020265579224,1.3158090114593506,0.07866273820400238,0.45123162865638733,,,,,,,,,
3,811,,,,,,,,,,0.06654539704322815,0.22717629373073578,1.8265511989593506,0.08227161318063736,0.6930336356163025,0.09999998658895493,1.2496939897537231,0.05500269681215286,0.4538460373878479
3,811,0.07770256698131561,0.2409462332725525,1.8792269229888916,0.11249269545078278,0.6928229928016663,0.10000020265579224,1.3139129877090454,0.10174307227134705,0.4620690941810608,,,,,,,,,
4,1014,,,,,,,,,,0.06653817743062973,0.22709551453590393,1.825141191482544,0.09677606076002121,0.6930025815963745,0.09999998658895493,1.2517002820968628,0.10489511489868164,0.4615383446216583
4,1014,0.07766400277614594,0.24060384929180145,1.8734086751937866,0.13826435804367065,0.6926945447921753,0.10000020265579224,1.3120969533920288,0.13626030087471008,0.4886699318885803,,,,,,,,,
5,1217,,,,,,,,,,0.06652813404798508,0.2273380160331726,1.8302732706069946,0.11216843128204346,0.6929620504379272,0.09999998658895493,1.2573336362838745,0.118612140417099,0.4692307114601135
5,1217,0.07763918489217758,0.24048811197280884,1.8717578649520874,0.15869854390621185,0.6926102638244629,0.10000020265579224,1.3124955892562866,0.14759381115436554,0.4926108419895172,,,,,,,,,
6,1420,,,,,,,,,,0.0665208250284195,0.2271815836429596,1.8273389339447021,0.1319337785243988,0.6929382085800171,0.09999998658895493,1.2488852739334106,0.13017749786376953,0.4692307114601135
6,1420,0.07761021703481674,0.2405189424753189,1.873194932937622,0.19142340123653412,0.6924885511398315,0.10000020265579224,1.3132905960083008,0.17239660024642944,0.5004926323890686,,,,,,,,,
7,1623,,,,,,,,,,0.0665144994854927,0.22748015820980072,1.8334810733795166,0.13950583338737488,0.6929161548614502,0.09999998658895493,1.248762607574463,0.13448092341423035,0.4692307710647583
7,1623,0.07760108262300491,0.24068744480609894,1.8769208192825317,0.1574377864599228,0.6924029588699341,0.10000020265579224,1.3130780458450317,0.16698816418647766,0.5073890089988708,,,,,,,,,
8,1826,,,,,,,,,,0.06650110334157944,0.22696436941623688,1.8235511779785156,0.1468711942434311,0.692857027053833,0.09999998658895493,1.2504887580871582,0.14335665106773376,0.47692304849624634
8,1826,0.07757365703582764,0.24031241238117218,1.8699586391448975,0.19794350862503052,0.6924081444740295,0.10000020265579224,1.3107990026474,0.1625443696975708,0.4837440252304077,,,,,,,,,
9,2029,,,,,,,,,,0.06648952513933182,0.2272392064332962,1.829387903213501,0.16075757145881653,0.6928025484085083,0.09999998658895493,1.2482038736343384,0.1705218106508255,0.48461538553237915
9,2029,0.07747741043567657,0.24049915373325348,1.8762933015823364,0.19771231710910797,0.6920705437660217,0.10000020265579224,1.3147408962249756,0.1905680149793625,0.5142858624458313,,,,,,,,,
10,2232,,,,,,,,,,0.06642254441976547,0.22666150331497192,1.8197757005691528,0.17112763226032257,0.6925016641616821,0.09999998658895493,1.2469499111175537,0.15559442341327667,0.5076923370361328
10,2232,0.07740849256515503,0.24025891721248627,1.873152732849121,0.1512141227722168,0.6919276714324951,0.10000020265579224,1.3123831748962402,0.1460091769695282,0.49655163288116455,,,,,,,,,
11,2435,,,,,,,,,,0.06620395183563232,0.22579361498355865,1.8088834285736084,0.17115965485572815,0.6914547681808472,0.09999998658895493,1.2556736469268799,0.16043570637702942,0.5153846144676208
11,2435,0.07636259496212006,0.23831996321678162,1.8613569736480713,0.14507564902305603,0.6888957619667053,0.10000020265579224,1.3098093271255493,0.13002516329288483,0.4798029661178589,,,,,,,,,
12,2638,,,,,,,,,,0.06604398041963577,0.22373849153518677,1.7723623514175415,0.17270080745220184,0.6907637715339661,0.09999998658895493,1.2388567924499512,0.1437601000070572,0.5153846144676208
12,2638,0.07581744343042374,0.2375250607728958,1.8597304821014404,0.13616369664669037,0.6872103214263916,0.10000020265579224,1.3087209463119507,0.11929447948932648,0.46600988507270813,,,,,,,,,
13,2841,,,,,,,,,,0.06580071151256561,0.22171078622341156,1.7386244535446167,0.1772138476371765,0.6897881627082825,0.09999998658895493,1.2313480377197266,0.14214631915092468,0.507692277431488
13,2841,0.07462006062269211,0.23521429300308228,1.841281533241272,0.15024684369564056,0.6853001117706299,0.10000020265579224,1.3017492294311523,0.12265315651893616,0.4758620858192444,,,,,,,,,
14,3044,,,,,,,,,,0.06564315408468246,0.22146910429000854,1.7381656169891357,0.17743492126464844,0.689176619052887,0.09999998658895493,1.2281852960586548,0.13407745957374573,0.507692277431488
14,3044,0.07231730967760086,0.2320074588060379,1.831558108329773,0.1871798038482666,0.6811226010322571,0.10000020265579224,1.2999613285064697,0.12170587480068207,0.47980281710624695,,,,,,,,,
